date,first,peak_load(MW),second,third
20170319,26543,24394,2149,8.81
20170320,30339,28453,1886,6.63
20170321,30707,28197,2510,8.9
20170322,30379,28095,2284,8.13
20170323,30369,28035,2334,8.32
20170324,30280,27872,2408,8.64
20170325,26886,24624,2262,9.18
20170326,25817,23892,1925,8.06
20170327,29653,27222,2431,8.93
20170328,29900,27766,2134,7.69
20170329,30095,28022,2073,7.4
20170330,30320,27974,2346,8.39
20170331,30458,28040,2418,8.62
20170401,26766,24245,2521,10.4
20170402,25227,22905,2322,10.14
20170403,24997,22797,2200,9.65
20170404,25389,23637,1752,7.41
20170405,29559,27722,1837,6.63
20170406,30310,28161,2149,7.63
20170407,30425,28739,1686,5.87
20170408,28526,26288,2238,8.51
20170409,27252,25592,1660,6.49
20170410,31313,30236,1077,3.56
20170411,31504,29416,2088,7.1
20170412,30668,28004,2664,9.51
20170413,30214,28171,2043,7.25
20170414,30381,28259,2122,7.51
20170415,28108,26171,1937,7.4
20170416,27411,25504,1907,7.48
20170417,31815,30290,1525,5.03
20170418,32269,30723,1546,5.03
20170419,32052,31072,980,3.16
20170420,32325,30725,1600,5.21
20170421,32395,30988,1407,4.54
20170422,27440,24699,2741,11.1
20170423,26236,24088,2148,8.92
20170424,30489,28349,2140,7.55
20170425,31221,29158,2063,7.07
20170426,32091,30418,1673,5.5
20170427,30979,28348,2631,9.28
20170428,29816,27165,2651,9.76
20170429,27142,24747,2395,9.68
20170430,25999,24004,1995,8.31
20170501,28784,25611,3173,12.39
20170502,32201,29684,2517,8.48
20170503,33218,30931,2287,7.39
20170504,33315,31407,1908,6.08
20170505,33612,31854,1758,5.52
20170506,30210,27573,2637,9.56
20170507,28367,25867,2500,9.67
20170508,33237,31507,1730,5.49
20170509,33418,31569,1849,5.86
20170510,34005,32633,1372,4.21
20170511,34995,33011,1984,6.01
20170512,34143,32806,1337,4.08
20170513,30573,27824,2749,9.88
20170514,28630,26614,2016,7.58
20170515,33794,32336,1458,4.51
20170516,32322,30124,2198,7.3
20170517,33049,30141,2908,9.65
20170518,33916,31320,2596,8.29
20170519,33452,31080,2372,7.63
20170520,29433,26826,2607,9.72
20170521,28748,26159,2589,9.9
20170522,34514,32130,2384,7.42
20170523,34441,32720,1721,5.26
20170524,34663,33035,1628,4.93
20170525,33883,31042,2841,9.15
20170526,33036,30290,2746,9.06
20170527,29736,26347,3389,12.86
20170528,28293,25268,3025,11.97
20170529,29341,26189,3152,12.04
20170530,29301,26643,2658,9.98
20170531,35101,32677,2424,7.42
20170601,34820,31934,2886,9.04
20170602,33745,31745,2000,6.3
20170603,32889,30408,2481,8.16
20170604,29056,26587,2469,9.29
20170605,34266,31834,2432,7.64
20170606,34499,33099,1400,4.23
20170607,35388,34135,1253,3.67
20170608,35634,34011,1623,4.77
20170609,35549,33972,1577,4.64
20170610,33349,30970,2379,7.68
20170611,32387,29156,3231,11.08
20170612,35807,34589,1218,3.52
20170613,36072,34501,1571,4.55
20170614,34883,31925,2958,9.27
20170615,33810,30196,3614,11.97
20170616,33890,30978,2912,9.4
20170617,30273,27264,3009,11.04
20170618,29812,26316,3496,13.28
20170619,34232,30908,3324,10.76
20170620,35769,31901,3868,12.12
20170621,36246,33511,2735,8.16
20170622,36636,34515,2121,6.14
20170623,36330,34567,1763,5.1
20170624,34392,30919,3473,11.23
20170625,32030,29653,2377,8.02
20170626,37318,35139,2179,6.2
20170627,37083,35123,1960,5.58
20170628,37133,35300,1833,5.19
20170629,37035,35234,1801,5.11
20170630,36942,34894,2048,5.87
20170701,34444,30856,3588,11.63
20170702,32104,28576,3528,12.34
20170703,36847,35002,1845,5.27
20170704,36695,34889,1806,5.18
20170705,36913,34916,1997,5.72
20170706,37131,35280,1851,5.25
20170707,36639,34736,1903,5.48
20170708,33690,30418,3272,10.76
20170709,32093,29124,2969,10.19
20170710,36658,35022,1636,4.67
20170711,37210,35482,1728,4.87
20170712,36734,35444,1290,3.64
20170713,37383,35749,1634,4.57
20170714,37514,35548,1966,5.53
20170715,34690,31152,3538,11.36
20170716,32187,29259,2928,10.01
20170717,36587,34337,2250,6.55
20170718,37302,36107,1195,3.31
20170719,37709,36046,1663,4.61
20170720,37470,35973,1497,4.16
20170721,37555,36146,1409,3.9
20170722,35011,31441,3570,11.35
20170723,32374,30894,1480,4.79
20170724,37065,36148,917,2.54
20170725,37637,36213,1424,3.93
20170726,37785,36199,1586,4.38
20170727,37471,35626,1845,5.18
20170728,37171,35658,1513,4.24
20170729,33693,30003,3690,12.3
20170730,31542,27986,3556,12.71
20170731,34812,30600,4212,13.76
20170801,35343,33080,2263,6.84
20170802,36096,33476,2620,7.83
20170803,36478,34556,1922,5.56
20170804,36155,34717,1438,4.14
20170805,33615,31575,2040,6.46
20170806,32629,30675,1954,6.37
20170807,37011,36165,846,2.34
20170808,36890,36266,624,1.72
20170809,37104,36123,981,2.72
20170810,36957,35788,1169,3.27
20170811,37060,36417,643,1.77
20170812,34707,32480,2227,6.86
20170813,33624,30951,2673,8.64
20170814,37877,36052,1825,5.06
20170815,37610,36453,1157,3.17
20170816,38012,36390,1622,4.46
20170817,37970,36391,1579,4.34
20170818,37815,36295,1520,4.19
20170819,34692,32211,2481,7.7
20170820,33363,30715,2648,8.62
20170821,37989,36119,1870,5.18
20170822,37520,35285,2235,6.33
20170823,37083,34588,2495,7.21
20170824,36959,35493,1466,4.13
20170825,37086,35129,1957,5.57
20170826,33661,31487,2174,6.9
20170827,31942,29227,2715,9.29
20170828,37421,35541,1880,5.29
20170829,37478,36070,1408,3.9
20170830,37429,35447,1982,5.59
20170831,37211,34739,2472,7.11
20170901,36747,33050,3697,11.19
20170902,32854,29350,3504,11.94
20170903,30641,28063,2578,9.19
20170904,35998,33987,2011,5.92
20170905,36130,34360,1770,5.15
20170906,36977,35786,1191,3.33
20170907,37214,35014,2200,6.28
20170908,37284,35020,2264,6.46
20170909,32676,30543,2133,6.98
20170910,31330,29552,1778,6.02
20170911,37204,34904,2300,6.59
20170912,37318,35533,1785,5.02
20170913,37055,33922,3133,9.24
20170914,36245,32944,3301,10.02
20170915,35703,33981,1722,5.07
20170916,32594,30645,1949,6.36
20170917,30844,28336,2508,8.85
20170918,36385,33398,2987,8.94
20170919,36161,34280,1881,5.49
20170920,36778,34866,1912,5.48
20170921,36515,35001,1514,4.33
20170922,36658,35374,1284,3.63
20170923,33455,32106,1349,4.2
20170924,32246,30716,1530,4.98
20170925,37067,35817,1250,3.49
20170926,37684,36263,1421,3.92
20170927,37733,36419,1314,3.61
20170928,37176,36049,1127,3.13
20170929,37259,35355,1904,5.39
20170930,36189,34625,1564,4.52
20171001,32037,30280,1757,5.8
20171002,37238,35737,1501,4.2
20171003,37600,35900,1700,4.73
20171004,31971,29072,2899,9.97
20171005,36727,34702,2025,5.84
20171006,36349,34982,1367,3.91
20171007,32023,29560,2463,8.33
20171008,30823,28115,2708,9.63
20171009,30439,28876,1563,5.41
20171010,31527,30226,1301,4.3
20171011,36482,35287,1195,3.39
20171012,36379,34009,2370,6.97
20171013,34356,32265,2091,6.48
20171014,30689,28783,1906,6.62
20171015,29880,27360,2520,9.21
20171016,34804,33062,1742,5.27
20171017,34542,32730,1812,5.54
20171018,34763,32246,2517,7.8
20171019,33609,31277,2332,7.46
20171020,32992,30889,2103,6.81
20171021,29251,25858,3393,13.12
20171022,27193,24237,2956,12.2
20171023,31411,28665,2746,9.58
20171024,32125,29159,2966,10.17
20171025,32300,29244,3056,10.45
20171026,32070,29286,2784,9.51
20171027,31101,28805,2296,7.97
20171028,27861,25555,2306,9.02
20171029,27817,24209,3608,14.91
20171030,30799,28206,2593,9.19
20171031,31166,28541,2625,9.2
20171101,31274,29266,2008,6.86
20171102,32208,30135,2073,6.88
20171103,32349,29257,3092,10.57
20171104,28104,25602,2502,9.77
20171105,26699,24623,2076,8.43
20171106,32275,29620,2655,8.96
20171107,32589,30666,1923,6.27
20171108,32505,29840,2665,8.93
20171109,32474,30266,2208,7.3
20171110,32500,30592,1908,6.24
20171111,28410,26422,1988,7.52
20171112,26785,25166,1619,6.43
20171113,32449,29653,2796,9.43
20171114,32558,29969,2589,8.64
20171115,32415,29784,2631,8.84
20171116,32912,30463,2449,8.04
20171117,32806,30555,2251,7.37
20171118,28683,26189,2494,9.52
20171119,26802,24644,2158,8.76
20171120,31083,28771,2312,8.04
20171121,30933,29432,1501,5.1
20171122,31461,28955,2506,8.66
20171123,31514,28469,3045,10.7
20171124,31344,28326,3018,10.66
20171125,28322,25668,2654,10.34
20171126,27557,24769,2788,11.25
20171127,31142,28917,2225,7.69
20171128,31207,29698,1509,5.08
20171129,31334,29530,1804,6.11
20171130,31783,29186,2597,8.9
20171201,31041,28525,2516,8.82
20171202,28665,25628,3037,11.85
20171203,27600,24512,3088,12.6
20171204,31058,28274,2784,9.85
20171205,30483,28243,2240,7.93
20171206,30509,28455,2054,7.22
20171207,30597,28625,1972,6.89
20171208,30548,27863,2685,9.64
20171209,27748,25500,2248,8.81
20171210,26390,24230,2160,8.91
20171211,30349,27706,2643,9.54
20171212,31076,28558,2518,8.82
20171213,31113,28433,2680,9.43
20171214,30682,28558,2124,7.44
20171215,30435,28405,2030,7.14
20171216,28044,25515,2529,9.91
20171217,26747,24444,2303,9.42
20171218,30695,28210,2485,8.81
20171219,30886,28665,2221,7.75
20171220,30709,28082,2627,9.35
20171221,30796,28219,2577,9.13
20171222,30376,27748,2628,9.47
20171223,27899,25193,2706,10.74
20171224,27219,24260,2959,12.2
20171225,30394,27939,2455,8.79
20171226,30723,28461,2262,7.95
20171227,30500,28022,2478,8.84
20171228,30583,28229,2354,8.34
20171229,30204,27369,2835,10.36
20171230,28107,24718,3389,13.71
20171231,25563,23319,2244,9.62
20180101,25708,23638,2070,8.76
20180102,29536,27816,1720,6.18
20180103,30132,28253,1879,6.65
20180104,30716,28757,1959,6.81
20180105,30401,28260,2141,7.58
20180106,27842,26062,1780,6.83
20180107,26516,25011,1505,6.02
20180108,30068,28801,1267,4.4
20180109,30767,28910,1857,6.42
20180110,30269,28410,1859,6.54
20180111,30360,28583,1777,6.22
20180112,29838,28093,1745,6.21
20180113,27702,25694,2008,7.82
20180114,26597,24705,1892,7.66
20180115,29976,28269,1707,6.04
20180116,29701,28285,1416,5.01
20180117,29996,28340,1656,5.84
20180118,30893,29076,1817,6.25
20180119,30341,28467,1874,6.58
20180120,27804,25883,1921,7.42
20180121,26617,24695,1922,7.78
20180122,30267,28264,2003,7.09
20180123,30520,28381,2139,7.54
20180124,29989,28228,1761,6.24
20180125,30137,28352,1785,6.3
20180126,29638,27537,2101,7.63
20180127,27239,25383,1856,7.31
20180128,26727,24535,2192,8.93
20180129,30220,28397,1823,6.42
20180130,30377,28606,1771,6.19
20180131,30805,28364,2441,8.61
20180201,30717,28521,2196,7.7
20180202,30181,28202,1979,7.02
20180203,27968,26353,1615,6.13
20180204,27855,26273,1582,6.02
20180205,30535,29059,1476,5.08
20180206,30425,28510,1915,6.72
20180207,30352,28889,1463,5.06
20180208,30108,28436,1672,5.88
20180209,30303,28302,2001,7.07
20180210,28719,26015,2704,10.39
20180211,27426,25349,2077,8.19
20180212,29795,27324,2471,9.04
20180213,28283,26300,1983,7.54
20180214,25864,23482,2382,10.14
20180215,23401,20979,2422,11.54
20180216,23221,20759,2462,11.86
20180217,22981,20282,2699,13.31
20180218,23094,20987,2107,10.04
20180219,23665,22071,1594,7.22
20180220,25134,23261,1873,8.05
20180221,28111,26510,1601,6.04
20180222,28560,27283,1277,4.68
20180223,29169,27093,2076,7.66
20180224,27642,25317,2325,9.18
20180225,26963,24690,2273,9.21
20180226,29606,27435,2171,7.91
20180227,29498,27818,1680,6.04
20180228,28077,26394,1683,6.38
20180301,30211,28372,1839,6.48
20180302,30169,28143,2026,7.2
20180303,27936,26052,1884,7.23
20180304,27163,25431,1732,6.81
20180305,30489,29460,1029,3.49
20180306,29729,27989,1740,6.22
20180307,29746,28469,1277,4.49
20180308,29829,27944,1885,6.75
20180309,29527,27617,1910,6.92
20180310,26680,24946,1734,6.95
20180311,25934,24245,1689,6.97
20180312,29698,27935,1763,6.31
20180313,30329,28418,1911,6.72
20180314,30517,28536,1981,6.94
20180315,30915,28941,1974,6.82
20180316,30617,28620,1997,6.98
20180317,27594,25794,1800,6.98
20180318,26377,24808,1569,6.33
20180319,30763,29102,1661,5.7
20180320,30811,28823,1988,6.9
20180321,29622,27699,1923,6.94
20180322,29913,27982,1931,6.9
20180323,29539,27642,1897,6.86
20180324,26882,25149,1733,6.89
20180325,26288,24573,1715,6.98
20180326,30181,28383,1798,6.34
20180327,30599,28602,1997,6.98
20180328,30747,28752,1995,6.94
20180329,30773,28983,1790,6.18
20180330,30797,28897,1900,6.57
20180331,29785,27845,1940,6.97
20180401,26805,25072,1733,6.91
20180402,30941,29047,1894,6.52
20180403,31154,29267,1887,6.45
20180404,27716,26121,1595,6.11
20180405,26725,24981,1744,6.98
20180406,26158,24450,1708,6.99
20180407,25609,23940,1669,6.97
20180408,25549,23895,1654,6.92
20180409,30202,28232,1970,6.98
20180410,30727,28728,1999,6.96
20180411,31919,30193,1726,5.72
20180412,32244,30645,1599,5.22
20180413,32838,31068,1770,5.7
20180414,29530,27721,1809,6.53
20180415,26249,24630,1619,6.57
20180416,30283,28365,1918,6.76
20180417,30377,28399,1978,6.97
20180418,30394,28521,1873,6.57
20180419,31398,29442,1956,6.65
